Problem id,Deadline,Points,Grade centre CSV name
max,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
closest1,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
closest2,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
ball1,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
ball2,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
inversions1,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
inversions2,2017-10-03 00:00,1,Prog 1 [Total Pts: 7] |343438
rpn,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
queue,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
dyck,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
median1,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
median2,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
dodge1,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
dodge2,2017-10-24 00:00,1,Prog 2 [Total Pts: 7] |440685
